bairro_normalizado,total_acidentes,com_vitima,sem_vitima,perc_com_vitima,microrregiao
Aflitos,21,14,7,66.66666666666666,3.1
Afogados,192,163,26,84.89583333333334,5.1
Agua Fria,99,85,13,85.85858585858585,2.2
Alto Do Mandu,6,6,0,100.0,3.1
Alto Jose Bonifacio,18,16,2,88.88888888888889,3.2
Alto Jose Do Pinho,10,9,1,90.0,3.2
Alto Santa Teresinha,4,1,3,25.0,2.2
Apipucos,33,28,5,84.84848484848484,3.1
Areias,103,95,6,92.23300970873787,5.2
Arruda,70,64,4,91.42857142857143,2.1
Barro,32,27,5,84.375,5.3
Beberibe,49,47,1,95.91836734693877,2.2 / 2.3
Boa Viagem,549,483,61,87.97814207650273,6.1
Boa Vista,134,95,39,70.8955223880597,1.2
Bomba Do Hemeterio,26,22,2,84.61538461538461,2.2
Bongi,48,45,3,93.75,5.1
Brasilia Teimosa,9,8,1,88.88888888888889,6.1
Brejo Da Guabiraba,9,9,0,100.0,3.3
Brejo De Beberibe,3,3,0,100.0,3.3
Cabanga,27,20,6,74.07407407407408,1.2
Cacote,2,1,1,50.0,5.2
Cajueiro,18,16,2,88.88888888888889,2.2
Campina Do Barreto,6,5,1,83.33333333333334,2.1
Campo Grande,116,113,3,97.41379310344827,2.1
Casa Amarela,152,142,10,93.42105263157895,3.1
Casa Forte,67,59,8,88.05970149253731,3.1
Caxanga,118,110,8,93.22033898305084,4.3
Cidade Universitaria,13,11,2,84.61538461538461,4.3
Coelhos,9,7,2,77.77777777777779,1.3
Cohab,20,19,1,95.0,6.3
Coqueiral,6,3,3,50.0,5.3
Cordeiro,116,102,14,87.93103448275862,4.1
Corrego Do Jenipapo,4,4,0,100.0,3.3
Curado,6,6,0,100.0,5.3
Derby,93,78,14,83.87096774193549,3.1
Dois Irmaos,32,27,3,84.375,3.1
Dois Unidos,30,30,0,100.0,2.2 / 2.3
Encruzilhada,80,74,6,92.5,2.1
Engenho Do Meio,19,18,1,94.73684210526315,4.2
Espinheiro,67,57,10,85.07462686567165,3.1
Estancia,53,48,5,90.56603773584906,5.2
Fundao,13,12,1,92.3076923076923,2.2
Gracas,62,48,13,77.41935483870968,3.1
Guabiraba,25,22,3,88.0,3.3
Hipodromo,2,2,0,100.0,2.1
Ibura,197,186,10,94.41624365482234,6.2
Ilha Do Leite,41,31,10,75.60975609756098,1.2
Ilha Do Retiro,54,48,6,88.88888888888889,4.1
Ilha Joana Bezerra,12,11,1,91.66666666666666,1.3
Imbiribeira,305,277,27,90.81967213114754,6.1
Ipsep,99,90,8,90.9090909090909,6.1
Iputinga,134,120,13,89.55223880597015,4.1
Jaqueira,9,7,2,77.77777777777779,3.1
Jardim Sao Paulo,48,40,8,83.33333333333334,5.3
Jiquia,15,15,0,100.0,5.2
Jordao,68,65,3,95.58823529411765,6.2
Linha Do Tiro,26,23,3,88.46153846153845,2.2 / 2.3
Macaxeira,41,39,2,95.1219512195122,3.3
Madalena,174,154,20,88.50574712643679,4.1
Mangabeira,9,8,1,88.88888888888889,3.2
Mangueira,10,9,1,90.0,5.1
Monteiro,8,5,3,62.5,3.1
Morro Da Conceicao,8,7,1,87.5,3.2
Mustardinha,17,16,1,94.11764705882352,5.1
Nova Descoberta,50,45,2,90.0,3.3
Paissandu,26,20,6,76.92307692307693,1.2
Parnamirim,35,28,6,80.0,3.1
Passarinho,6,6,0,100.0,3.3
Pina,136,127,9,93.38235294117648,6.1
Poco,4,3,1,75.0,3.1
Ponto De Parada,5,5,0,100.0,2.1
Porto Da Madeira,11,11,0,100.0,2.2
Prado,38,28,10,73.68421052631578,4.1
Recife,37,27,10,72.97297297297297,1.1
Rosarinho,26,25,1,96.15384615384616,2.1
San Martin,82,72,9,87.8048780487805,5.1
Sancho,10,9,1,90.0,5.3
Santana,6,6,0,100.0,3.1
Santo Amaro,296,254,42,85.8108108108108,1.1
Santo Antonio,45,34,11,75.55555555555556,1.2
Sao Jose,185,151,34,81.62162162162161,1.2
Sitio Dos Pintos,5,4,1,80.0,3.1
Soledade,2,1,1,50.0,1.2
Tamarineira,66,57,8,86.36363636363636,3.1
Tejipio,37,33,4,89.1891891891892,5.3
Torre,87,76,10,87.35632183908046,4.1
Torreao,13,10,3,76.92307692307693,2.1
Torroes,41,37,4,90.2439024390244,4.2
Toto,17,16,1,94.11764705882352,5.3
Varzea,94,82,11,87.2340425531915,4.3
Vasco Da Gama,28,27,1,96.42857142857143,3.2
Zumbi,6,6,0,100.0,4.1
