microrregiao,total_acidentes,com_vitima,sem_vitima,perc_com_vitima
1.1,333,281,52,84.38438438438438
1.2,460,352,107,76.52173913043478
1.3,21,18,3,85.71428571428571
2.1,318,298,18,93.71069182389937
2.2,171,147,21,85.96491228070175
2.2 / 2.3,105,100,4,95.23809523809523
3.1,666,569,91,85.43543543543544
3.2,73,67,6,91.78082191780823
3.3,138,128,7,92.7536231884058
4.1,609,534,73,87.68472906403942
4.2,60,55,5,91.66666666666666
4.3,225,203,21,90.22222222222223
5.1,349,305,40,87.39255014326648
5.2,173,159,12,91.90751445086705
5.3,156,134,22,85.8974358974359
6.1,1098,985,106,89.70856102003643
6.2,265,251,13,94.71698113207547
6.3,20,19,1,95.0
